"%s wants to connect to your store","%s vuole connettersi al tuo negozio"
"-- No Role --","-- Nessun Ruolo --"
"Access Token Lifetime","Durata Token Di Accesso"
"Account Information","Informazioni Account"
"Act as you until you revoke this application, or your admin account is disabled.","Agisci come te fino a quando non revoci questa applicazione, o il tuo account amministratore è disabilitato."
"Active","Attivo"
"Add New Role","Aggiungi Nuovo Ruolo"
"Add New User","Aggiungi Nuovo Utente"
"Admin GraphQL at /api/admin/graphql (requires admin auth)","Admin GraphQL a /api/admin/graphql (richiede admin auth)"
"All","Tutti"
"All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point.","Tutti i protocolli API sono <strong>disabilitati per impostazione predefinita</strong>. Abilita solo quelli effettivamente utilizzati, qualsiasi cosa non restituisce 404 al punto di ingresso."
"Allow Applications to Register Themselves","Consenti alle applicazioni di registrarsi"
"API","API"
"API Cache","API Cache"
"API Key","Chiave API"
"API Protocols","API Protocols"
"API Role","Ruolo API"
"API user has been deleted.","L'utente API è stato eliminato."
"API user has been saved.","L'utente API è stato salvato."
"API User Information","Informazioni Utente API"
"API user not found.","Utente API non trovato."
"API v2 Roles","API v2 Roles"
"API v2 Users","Utenti API v2"
"Application","Applicazione"
"Approve","Approva"
"Assign Role","Assegna Ruolo"
"Authenticated via customer login (email + password). Each customer can only access their own data.","Autenticato tramite login del cliente (email + password). Ogni cliente può accedere solo ai propri dati."
"Authorization Code Lifetime","Durata Codice Autorizzazione"
"Authorization Server","Server Di Autorizzazione"
"Authorize Application","Autorizza Applicazione"
"Cache TTL (seconds)","Cache TTL (secondi)"
"Can reach","Può raggiungere"
"Catalog, cart and order tools for %s","Catalogo, carrello e strumenti di ordine per %s"
"Check to generate new client_id and client_secret. The old credentials will stop working.","Spunta la casella per generare nuovi client_id e client_secret. Le vecchie credenziali smetteranno di funzionare."
"Client Credentials","Credenziali Client"
"Client ID","ID Client"
"Client ID: %s","ID Cliente: %s"
"Client Secret","Client Secret"
"Client Secret: %s","Segreto Cliente: %s"
"Comma-separated list of allowed origins. Defaults to store base URL if empty.","Elenco separato da virgole delle origini consentite. Predefinito per memorizzare l'URL di base se vuoto."
"Connected Applications","Applicazioni Connesse"
"Contact Form","Modulo Di Contatto"
"CORS Allowed Origins","CORS Origini Consentite"
"Created","Creato"
"Custom","Personalizzato"
"Customer Session Operations","Operazioni Sessione Cliente"
"Delete API User","Elimina Utente API"
"Delete Role","Elimina Ruolo"
"Deny","Nega"
"Edit API User","Modifica Utente API"
"Edit API User '%s'","Modifica Utente API '%s'"
"Edit Role","Modifica Ruolo"
"Edit Role '%s'","Modifica Ruolo '%s'"
"Email","Email"
