"%s items queued for embedding.","%s Elemente in der Warteschlange für Einbetten."
"Action","Aktion"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","KI: Konnte Modelle für %snicht aktualisieren. Siehe exception.log."
"AI: refreshed %d models for %s.","KI: Aktualisierte %d Modelle für %s."
"AI Configuration","AI-Konfiguration"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","AI-Nutzung"
"already queued","bereits eingereiht"
"Async Queue","Async-Warteschlange"
"Auto-embed Categories","Kategorien automatisch einbetten"
"Auto-embed Products","Produkte automatisch einbetten"
"Back","Zurück"
"Background","Hintergrund"
"Blocked Input Patterns","Blockierte Eingabemuster"
"Calls","Anrufe"
"Cancelled","Abgebrochen"
"Categories (%s active)","Kategorien (%s aktiv)"
"Complete","Complete"
"Completed","Abgeschlossen"
"Completion","Fertigstellung"
"Consumer","Verbraucher"
"Context","Kontext"
"Current Configuration","Aktuelle Konfiguration"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Standard Platzhalterhöhe"
"Default Placeholder Width","Standard Platzhalterbreite"
"Disabled","Deaktiviert"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","z.B. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Einbetten"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Einbettungen sind deaktiviert. Aktivieren Sie sie unter System &gt; KI &gt; Einbett-Einstellungen vor der Warteschlange."
"Embed Provider","Anbieter einbinden"
"Embed Status","Einbett-Status"
"Enable Async Queue","Async-Warteschlange aktivieren"
"Enabled","Aktiviert"
"Enable Embeddings","Einbetten aktivieren"
"Enable Image Generation","Bild-Erzeugung aktivieren"
"Error","Fehler"
"Error: ","Fehler: "
"Estimated completion: ~%d hours %d minutes.","Geschätzte Fertigstellung: ~%d Stunden %d Minuten."
"Estimated completion: ~%d minutes.","Geschätzte Fertigstellung: ~%d Minuten."
"Failed","Fehler"
"Failed to fetch models. See exception.log for details.","Fehler beim Abrufen der Modelle. Siehe exception.log für Details."
"Fetching...","Abrufe..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Antworten markieren, die E-Mail-Adressen, Telefonnummern oder SSN enthalten."
"Google Embed Model","Google-Einbettungsmodell"
"ID","ID"
"Image","Bild"
"Image Generation","Bildgenerierung"
"Image Provider","Bildanbieter"
"Input Tokens","Input Tokens"
"Interactive","Interaktiv"
"In Tokens","In Token"
"Log Requests","Log-Anfragen"
"Max seconds a task can run before being marked as failed.","Max. Sekunden kann eine Aufgabe ausgeführt werden, bevor sie als fehlgeschlagen markiert wird."
"Max Tasks Per Cron Run","Max. Aufgaben pro Cron ausführen"
"Messages","Nachrichten"
"Mistral Embed Model","Mistral Einbett-Modell"
"Model","Modell"
"Must be installed locally via `ollama pull`.","Muss lokal über `ollama pull` installiert werden."
"No items were queued. Make sure products/categories have text content.","Keine Artikel in der Warteschlange. Stellen Sie sicher, dass Artikel/Kategorien Textinhalt haben."
"Ollama Embed Model","Ollama Einbett-Modell"
"One regex per line. Matching inputs will be rejected.","Ein Regex pro Zeile, übereinstimmende Eingaben werden abgelehnt."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","OpenAI-kompatibler Endpunkt, z.B. https://api.example.com/v1"
"OpenAI Embed Model","OpenAI Einbett-Modell"
"OpenAI Image Model","OpenAI Bildmodell"
"Output Tokens","Ausgabe-Token"
"Out Tokens","Ausgehende Token"
"Pending","Ausstehend"
"Pending Embed Tasks","Ausstehende Aufgaben"
"PII Detection","PII Erkennung"
"Placeholder URL Pattern","Platzhalter-URL-Muster"
"Platform","Plattform"
"Platform / Model","Plattform / Modell"
"Priority","Priorität"
"Processing","Verarbeitung"
"Products (%s enabled)","Produkte (%s aktiviert)"
"Prompt Injection Detection","Prompt Spritzerkennung"
"Queue","Warteschlange"
"Queue an embedding task whenever a category is saved.","Warteschlange eine Einbettaufgabe, wann immer eine Kategorie gespeichert wird."
"Queue an embedding task whenever a product is saved.","Warteschlange eine Einbettaufgabe, wenn ein Produkt gespeichert wird."
"Queue Cron Schedule","Warteschlange Cron-Zeitplan"
"Queued","Warteschlange"
"Queue for Embedding","Warteschlange zum Einbetten"
"Queue Status","Warteschlange Status"
"Refresh Models","Modelle aktualisieren"
"Response","Antwort"
"Retries","Wiederholungen"
"Return a placeholder image URL when image generation is disabled or fails.","Gibt eine Platzhalterbild-URL zurück, wenn die Bildgenerierung deaktiviert ist oder fehlschlägt."
"Safety & Guardrails","Sicherheit & Sicherheiten"
"Sanitize HTML Output","HTML Ausgabe säubern"
"Scan user inputs for prompt injection attempts before sending to AI.","Scannen Sie Benutzereingaben nach Injektionsversuchen vor dem Senden an die KI."
"Status","Status"
"Store ID","Shop-ID"
"Strip dangerous tags/attributes from AI responses used as HTML.","Entfernen Sie gefährliche Tags/Attribute aus KI-Antworten, die als HTML verwendet werden."
"Target Dimensions","Target Dimensions"
"Task #%s","Aufgabe #%s"
"Task Details","Aufgabendetails"
"Task History","Aufgabenverlauf"
"Task not found.","Aufgabe nicht gefunden."
"Task Timeout (seconds)","Aufgaben-Timeout (Sekunden)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","Die async-Warteschlange ist deaktiviert. Aktivieren Sie sie unter System &gt; KI &gt; Warteschlangeneinstellungen oder Aufgaben werden niemals verarbeitet."
"This queues %s products and %s categories (%s tasks total) for background processing.","Diese Warteschlange für %s Produkte und %s Kategorien (%s Aufgaben insgesamt) für die Hintergrundbearbeitung."
"This will queue all selected items for embedding. Continue?","Dies wird alle ausgewählten Einbettungselemente einbinden. Fortfahren?"
"Type","Typ"
"Usage","Auslastung"
"Use Placeholder Fallback","Placeholder Fallback verwenden"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Verwenden Sie {w} und {h} Token für Breite/Höhe. z.B. https://placehold.co/{w}x{h} oder https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Vector-Größe. 0 = Modell Standard. OpenAI und Google unterstützen native Kürzung; andere werden nach dem Abrufen abgeschnitten."
