"A block identifier with the same properties already exists in the selected store.","Lohkon tunniste, jolla on samat ominaisuudet, on jo olemassa valitussa kaupassa."
"Action","Toiminto"
"Add New Block","Lisää Uusi Lohko"
"Add New Page","Lisää Uusi Sivu"
"A directory with the same name already exists. Please try another folder name.","Samanniminen hakemisto on jo olemassa. Ole hyvä ja yritä toinen kansion nimi."
"Anchor Custom Text","Ankkuri Mukautettu Teksti"
"Anchor Custom Title","Ankkuri Mukautettu Otsikko"
"and %s more","ja %s lisää"
"An error occurred while saving the page.","Sivua tallennettaessa tapahtui virhe."
"A page URL key for specified store already exists.","Sivun URL-avain määriteltyyn kauppaan on jo olemassa."
"Are you sure you want to delete current folder?","Oletko varma, että haluat poistaa nykyisen kansion?"
"Are you sure you want to delete the selected file?","Oletko varma, että haluat poistaa valitun tiedoston?"
"Block","Estä"
"Block Content","Lohkon Sisältö"
"Block Information","Lohkon Tiedot"
"Block Title","Lohkon Otsikko"
"Cannot create new directory.","Uutta hakemistoa ei voi luoda."
"Cannot delete directory %s.","Hakemistoa %s ei voi poistaa."
"Cannot delete page, it is used in ""%s"".","Sivua ei voi poistaa, sitä käytetään kohteessa ""%s""."
"Cannot delete root directory %s.","Juurihakemistoa %s ei voi poistaa."
"Cannot disable page, it is used in configuration ""%s"".","Sivua ei voida poistaa käytöstä, sitä käytetään asetuksissa ""%s""."
"Cannot upload file.","Tiedostoa ei voi ladata."
"CMS","CMS"
"CMS Content Wrapper","CMS Sisällön Wrapper"
"CMS Home Page","Cms Kotisivu"
"CMS No-Route Page","Cms No-Reitin Sivu"
"CMS No Route Page","CMS Ei Reittisivua"
"CMS Page","CMS-sivu"
"CMS Page Link","Cms Sivun Linkki"
"CMS Page Link Block Template","Cms Sivun Linkin Lohko Malli"
"CMS Page Link Inline Template","Cms Sivun Linkin Sisäinen Malli"
"CMS Pages (All)","CMS-sivut (All)"
"CMS Static Block","CMS-staattinen Lohko"
"CMS Static Block Default Template","Cms Staattinen Lohko Oletusmalli"
"Collapse All","Kutista Kaikki"
"Content","Sisältö"
"Content Heading","Sisällön Otsikko"
"Content Management","Sisällön Hallinta"
"Contents of a Static Block","Staattisen lohkon sisältö"
