"Additional HTTP headers in format <code>Key: Value</code> (one per line). Example:<br/><code>X-Custom-Header: value</code><br/><code>X-Another-Header: another-value</code><br/>Stored in plaintext: do not put credentials here, use the Authorization Header field for secrets.","Zusätzliche HTTP-Header im Format <code>Key: Wert</code> (eine pro Zeile). Beispiel:<br/><code>X-Custom-Header: Wert</code><br/><code>X-Another-Header: Ein anderer Wert</code><br/>Im Klartext gespeichert: Keine Anmeldedaten hier anlegen verwenden Sie das Feld Authorisierungs-Header für Geheimnisse."
"Also send log records to the OTLP endpoint, correlated with traces. Requires the <code>open-telemetry/opentelemetry-logger-monolog</code> composer package. Log messages are exported as-is: treat the OTLP backend with the same sensitivity as the local <code>var/log</code> files.","Senden Sie auch Logeinträge an den OTLP-Endpunkt, korreliert mit Leitern. Erfordert das <code>Open-Telemetrie-/opentelemetry-logger-monolog</code> Komponistenpaket. Logmeldungen werden wie folgt exportiert: behandeln Sie das OTLP Backend mit der gleichen Empfindlichkeit wie die lokalen <code>var/log</code> Dateien."
"Also send metrics to the OTLP endpoint: request duration histogram, orders, revenue and cart additions counters (delta temporality).","Senden Sie auch Metriken an den OTLP Endpunkt: Dauer Histogramm, Bestellungen, Einnahmen- und Warenkorb-Hinzufügungszähler (Delta Zeiträume)."
"Attach the SQL statement to every query span, so you can read the query that ran. Maho writes values into the statement rather than binding them, so the statement exports those values too, including customer data such as email addresses and password reset tokens. Turn this off if the OTLP backend must not hold customer data. Query names, timings and counts work either way.","Fügen Sie die SQL-Anweisung an jeden Abfragebereich an, so dass Sie die Abfrage lesen können. Maho schreibt Werte in die Anweisung statt sie zu binden, also exportiert die Anweisung auch diese Werte einschließlich Kundendaten wie E-Mail-Adressen und Passwort-Reset-Token. Deaktivieren Sie dies, wenn das OTLP Backend keine Kundendaten enthalten darf. Abfragenamen, Timings und Zähler funktionieren in jeder Weise."
"Authorization Header","Autorisierungs-Header"
"Authorization header value for authentication. For Grafana Cloud, use format: <code>Basic [base64(instance_id:api_token)]</code>. For other services, use their required format.","Berechtigungs-Header-Wert für Authentifizierung. Für Grafana Cloud verwenden Sie das Format: <code>Basic [base64(instance_id:api_token)]</code>. Für andere Dienste verwenden Sie das erforderliche Format."
"Baggage Hosts","Gepäckträger"
"Continue traces started by callers that send W3C <code>traceparent</code> headers (distributed tracing). Enable only behind a trusted proxy or gateway: honoring arbitrary client trace ids can pollute sampling decisions.","Traces fortsetzen, die von Anrufern gestartet wurden, die W3C <code>Traceparent</code> Kopfzeilen senden (verteilte Tracing). Aktivieren Sie nur hinter einem vertrauenswürdigen Proxy oder Gateway: Die Einhaltung beliebiger Clientspur-IDs kann Entscheidungen zur Probenahmung belasten."
"Create a span for every cache read, write and invalidation. The highest volume source of all, and the cache key is recorded as an attribute: enable it to debug a cache problem, not permanently.","Erstellen Sie eine Spanne für jeden Cache-Lesen, Schreiben und Invalidation. Die größte Volumenquelle aller und der Cache-Schlüssel wird als Attribut aufgezeichnet: Aktivieren Sie ihn, ein Cache-Problem zu debuggen, nicht dauerhaft."
"Create a span for every layout block rendered. Detailed but high volume: disable to keep traces small on complex pages.","Erstellen Sie eine Spanne für jeden dargestellten Layout-Baustein. Detaillierte, aber hohe Lautstärke: Deaktivieren, um die Spuren auf komplexen Seiten gering zu halten."
"Custom Headers","Eigene Kopfzeilen"
"Deployment Environment","Einsatzumgebung"
"Enable OpenTelemetry distributed tracing.","Aktiviere OpenTelemetry verteilte Verfolgung."
"Enable Tracing","Tracing aktivieren"
"Excluded Paths","Ausgeschlossene Pfade"
"Exported as the <code>deployment.environment.name</code> resource attribute, so one backend can hold several installs (e.g. <code>production</code>, <code>staging</code>). Leave empty to omit it.","Exportiert als <code>deployment.environment.name</code> Ressourcen-Attribut, so dass ein Backend mehrere Installationen (e. . <code>Produktion</code>, <code>Inszenierung</code>). Leer lassen um es zu unterlassen."
"Export Logs","Logs exportieren"
"Export Metrics","Metriken exportieren"
"Hosts that may receive the W3C <code>baggage</code> header (store code and currency), one per line; a line also matches its subdomains. List your own services only. The <code>traceparent</code> header goes to every host either way: it carries two random ids and nothing else.","Hosten, die den W3C <code>Gepäckkopf</code> (Store-Code und Währung) erhalten können, eine pro Zeile; eine Zeile passt auch zu den Subdomains. Nur Ihre eigenen Dienste auflisten. Der <code>Traceparent</code> Header geht auf jeden Host in beide Richtungen: Er enthält zwei zufällige Ids und nichts anderes."
"Identifier for this service in traces (e.g., ""maho-production"", ""maho-staging"").","Identifikator für diesen Dienst in Traces (z. B. ""maho-production"", ""maho-staging"")."
"OpenTelemetry","OpenTelemetrie"
"OTLP Endpoint","OTLP Endpoint"
"OTLP endpoint URL for trace exports (must end with <code>/v1/traces</code>). Example: <code>https://otlp-gateway-prod-eu-west-2.grafana.net/otlp/v1/traces</code>","OTLP Endpunkt URL für Trace-Exporte (muss mit <code>/v1/traces</code>enden). Beispiel: <code>https://otlp-gateway-prod-eu-west-2.grafana.net/otlp/v1/traces</code>"
"Percentage of requests to trace. Enter a value between 0.0 and 1.0 (1.0 = 100%, 0.1 = 10%, 0.01 = 1%). Lower values reduce data volume and costs.","Prozentsatz der zu verfolgenden Anfragen. Geben Sie einen Wert zwischen 0.0 und 1.0 ein (1. = 100%, 0,1 = 10%, 0,01 = 1%). Niedrigere Werte reduzieren Datenvolumen und Kosten."
"Query Statement","Abfrage-Statement"
"Request paths that should never be traced, one per line. A line is a path prefix, or a wildcard pattern when it contains <code>*</code> or <code>?</code>. Example:<br/><code>/health</code><br/><code>/media/*</code>","Request-Pfade, die nie nachverfolgt werden sollten, eine pro Zeile. Eine Zeile ist ein Pfadpräfix oder ein Platzhaltermuster, wenn es <code>*</code> oder <code>?</code>enthält. Beispiel:<br/><code>/health</code><br/><code>/media/*</code>"
"Sampling Rate","Sampling-Rate"
