"and %s more posts","și încă %s postări"
"and %s more products, listed in the XML sitemap","si mai multe %s produse, listate in sitemap XML"
"Attribute","Atribut"
"Availability","Disponibilitate"
"Backorder","Backorder"
"Blog","Blog"
"Brand","Marca"
"Cache Lifetime (seconds)","Cache Durata de viaţă (secunde)"
"Description","Descriere"
"Enabled","Activat"
"from %s to %s","de la %s la %s"
"Image","Imagine"
"Images","Imagini"
"In stock","În stoc"
"Limited availability","Disponibilitate limitată"
"Markdown for AI agents","Markdown pentru agenți AI"
"Not Found","Nu s-a găsit"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","O singură rută prefix pe linie, ca modul/controller/acţiune. Numai aceste pagini primesc o versiune de marcaj. O rută necesită un dispozitiv de redare declarat sub glob/contentnegociere/renderers într-o config.xml."
"Options","Opţiuni"
"Out of stock","Nu este în stoc"
"Price","Preț"
"Product","Produs"
"Products","Produse"
"Published","Publicat"
"regular price %s","preț regulat %s"
"Routes","Rute"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Serviți o versiune markdown a unei pagini atunci când solicitarea trimite <code>Accept: text/markdown</code> sau când URL-ul se termină cu <code>. d</code>. Browserele păstrează pagina HTML. Paginile HTML anunță versiunea markdown cu headerul <code>Link</code>."
"Specifications","Specificații"
"Subcategories","Subcategorii"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","Marcajul este memorat în cache cu codul HTML de ieşire. Un produs, categorie, pagină sau postare salvează şterge intrarea sa. 0 dezactivează cache-ul."
"There are no posts yet.","Nu există încă nici o postare."
"There are no products in this category.","Nu există produse în această categorie."
"This page has no markdown version.","Această pagină nu are nici o versiune de marcaj."
"Value","Valoare"
