"3D Secure","3D Veilig"
"Actions","acties"
"Added","Toegevoegd"
"Allows logged-in customers to save their payment methods for faster future checkouts. Saved tokens are stored securely by PayPal.","Staat aangemelde klanten toe hun betalingsmethoden op te slaan voor snellere toekomstige afrekeningen. Opgeslagen tokens worden veilig opgeslagen door PayPal."
"Are you sure you want to delete this payment method?","Weet u zeker dat u deze betaalmethode wilt verwijderen?"
"Authorization ID","Autorisatie ID"
"Authorize and Capture","Autoriseer en neem op"
"Authorize Only","Alleen machtigen"
"Automatically populated after clicking ""Register Webhook"". Used to verify the authenticity of incoming PayPal notifications.","Automatisch bevolkt nadat u op ""Webhook registreren"". Wordt gebruikt om de authenticiteit van binnenkomende PayPal-meldingen te verifiëren."
"AVS Code","AVS Code"
"Bancontact","Bancontact"
"BLIK","BLIK"
"Capture ID","Opname ID"
"Cart is empty.","Winkelwagen is leeg."
"Client ID","Klant ID"
"Client Secret","Client Secret"
"Connection failed. Please check your credentials.","Verbinding mislukt. Controleer uw inloggegevens."
"Connection failed: %s","Verbinding mislukt: %s"
"Connection successful.","Verbinding succesvol."
"Could not acquire order lock.","Kan order lock niet opvragen."
"CVV Code","CVV code"
"Debug Mode","Debug modus"
"Delete","Verwijderen"
"Display on Product Page","Toon op productpagina"
"Display on Shopping Cart","Toon in winkelwagen"
"Displays inline credit/debit card fields directly on your checkout page. Customers enter their card details without being redirected to PayPal. Requires PayPal Advanced Checkout eligibility.","Toont inline krediet- en debetkaartvelden direct op uw afrekenpagina. Klanten voeren hun kaartgegevens in zonder doorverwezen te worden naar PayPal. Hiervoor is PayPal Advanced Checkout geschiktheid vereist."
"Displays PayPal buttons at checkout. Customers pay with their PayPal account, Pay Later, or other PayPal-supported methods without leaving your site.","Toont PayPal-knoppen bij de kassa. Klanten betalen met hun PayPal-account, betalen Later of andere door PayPal ondersteunde methodes zonder uw site te verlaten."
"Enabled","Ingeschakeld"
"eps","eps"
"Failed to create PayPal order.","Het maken van een PayPal bestelling is mislukt."
"Failed to create PayPal order: %s","Het maken van PayPal bestelling is mislukt: %s"
"Failed to register webhook.","Kan webhook niet registreren."
"giropay","giropay"
"iDEAL","iDEAAL"
"Invalid form key.","Ongeldige formuliersleutel."
"Invalid payment method.","Ongeldige betaalmethode."
"Log API requests and responses to var/log/paypal.log","Log API verzoeken en antwoorden op var/log/paypal.log"
"Missing PayPal order ID.","PayPal-bestel-ID ontbreekt."
"MyBank","MyBank"
"No PayPal authorization ID found for void.","Geen PayPal autorisatie ID gevonden voor leegte."
"No PayPal authorization or order ID found for capture.","Geen PayPal-autorisatie of order-ID gevonden voor registratie."
"No PayPal capture ID found for refund.","Geen PayPal capture ID gevonden voor terugbetaling."
"No saved payment methods available.","Geen opgeslagen betaalmethoden beschikbaar."
"No saved payment methods available for this customer.","Geen opgeslagen betaalmethoden beschikbaar voor deze klant."
"Payer Email","Betaler E-mail"
"Payer ID","Payer ID"
"Pay Later","Later betalen"
"Pay Later Messaging","Betaal Later Berichten"
"Payment Action","Betaling actie"
"Payment Method","Betaalmethode"
"Payment method has been deleted.","De betaalmethode is verwijderd."
"PayPal","Paypal"
"PayPal - Advanced Checkout (Card Fields)","PayPal - Geavanceerd Afrekenen (Card Fields)"
"PayPal - General Settings","PayPal - Algemene instellingen"
"PayPal - Standard Checkout (PayPal Buttons)","PayPal - Standaard Afrekenen (PayPal Knopen)"
"PayPal - Vault (Saved Payment Methods)","PayPal - Kluis (Saved betalingsmethoden)"
"PayPal capture failed: no capture ID returned.","PayPal capture mislukt: geen capture ID teruggegeven."
"PayPal Client ID and Client Secret are required when a PayPal payment method is enabled.","PayPal-client-ID en clientgeheim zijn vereist wanneer een PayPal-betalingsmethode is ingeschakeld."
"PayPal Credit","PayPal Credit"
"PayPal did not return a payer email address.","PayPal heeft geen e-mailadres van de betaler geretourneerd."
"PayPal order amount does not match this cart.","PayPal-bestelbedrag komt niet overeen met deze winkelwagen."
"PayPal order could not be approved. Status: %s","PayPal bestelling kon niet worden goedgekeurd. Status: %s"
"PayPal order currency does not match this cart.","PayPal-bestelvaluta komt niet overeen met deze winkelwagen."
"PayPal order does not belong to this cart.","PayPal bestelling behoort niet tot deze winkelwagen."
"PayPal Order ID","PayPal order-ID"
"PayPal order ID not found.","PayPal order-ID niet gevonden."
"Please complete the PayPal payment before placing the order.","Voltooi alstublieft de PayPal-betaling voordat u de bestelling plaatst."
"Processor Response","Processor antwoord"
"Przelewy24","Przelewy24"
"Quote is no longer active and no matching order was found.","Prijsopgave is niet langer actief en er is geen overeenkomende bestelling gevonden."
"Registers a webhook with PayPal to receive real-time notifications for payments, refunds, and disputes. Requires a publicly accessible HTTPS URL.","Registreer een webhook met PayPal om real-time meldingen te ontvangen voor betalingen, terugbetalingen en geschillen. Vereist een openbaar toegankelijke HTTPS-URL."
"Register Webhook","Webhook registreren"
"Sandbox Mode","Sandbox modus"
"Saved Payment","Opgeslagen betaling"
"Saved Payment Method","Opgeslagen betaalmethode"
"Saved Payment Methods","Opgeslagen betaalmethodes"
"Save this payment method for future purchases","Deze betaalmethode opslaan voor toekomstige aankopen"
"Send cart line items to PayPal for display during checkout.","Stuur winkelwagen artikelen naar PayPal voor weergave tijdens het afrekenen."
"SEPA","SEPA"
"Sofort","Sofort"
"Sort Order","Sorteren bestelling"
"Test Connection","Verbinding testen"
"This order has already been placed.","Deze bestelling is al geplaatst"
"This PayPal order has already been used.","Deze PayPal bestelling is al gebruikt."
"Title","Aanspreektitel"
"Transfer Line Items","Verplaats regelitems"
"Type","Type"
"Unable to delete payment method.","Niet mogelijk om betaalmethode te verwijderen."
"Use PayPal sandbox environment for testing.","Gebruik de PayPal sandbox-omgeving voor testen."
"Venmo","Venmo"
"Webhook ID","Webhook ID"
"Webhook registered successfully. ID: %s","Webhook is geregistreerd. ID: %s"
"Webhook registration failed: %s","Webhook registratie mislukt: %s"
"You have no saved payment methods.","U heeft geen opgeslagen betaalmethoden."
