"-- None --","-- Brak --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Dodaje zagregowaną ocenę (wartość oceny i liczbę przeglądów) i poszczególne węzły przeglądu (nazwa recenzenta i tekst recenzji) do schematu produktu, gdy recenzje są włączone."
"Automatic (from Right of Withdrawal settings)","Automatyczne (z prawej strony wycofania)"
"Automatic emits a finite return window from the Right of Withdrawal settings when that feature is enabled, and nothing otherwise. Never advertise a policy the store does not honor.","Automatycznie emituje zamknięte okienko zwrotne z prawej strony ustawień wycofania, gdy ta funkcja jest włączona, i nic innego. Nigdy nie reklamuj polityki, której sklep nie honoruje."
"Brand Attribute","Atrybut marki"
"Condition Attribute","Atrybut warunku"
"Countries the return policy applies to. Leave empty to use the merchant country, or the shipping origin country when the merchant country is not set.","Kraje, w których obowiązuje polityka zwrotu. Pozostaw puste, aby użyć kraju akceptanta lub kraju pochodzenia wysyłki, gdy kraj akceptujący nie jest ustawiony."
"Customer Pays Return Shipping","Klient Pays Zwrot Wysyłki"
"Days between order and shipment. Both minimum and maximum are needed to emit handlingTime.","Dni pomiędzy zamówieniem i wysyłką. Minimalne i maksymalne ilości są potrzebne do emisji czasu obsługi."
"Days between shipment and delivery. Both minimum and maximum are needed to emit transitTime.","Dni pomiędzy wysyłką i dostawą. Minimalne i maksymalne ilości są potrzebne do wydania czasu tranzytu."
"Do Not Emit","Nie emituj"
"Enable Structured Data","Włącz ustrukturyzowane dane"
"Finite Return Window","Zakończ okno zwrotne"
"Flat shipping rate in base currency for the schema.org shippingDetails node. Leave empty to derive the rate from the active Flat Rate and Free Shipping carriers. Destination countries come from the carrier and store shipping country settings.","Płaski kurs dostawy w walucie bazowej dla węzła wysyłki schema.org. Pozostaw puste, aby uzyskać stopę od aktywnych przewoźników Flat Rate i Free Shipping Kraje przeznaczenia pochodzą z listy przewoźników i sklepów z krajw wysyłki."
"Free Return","Darmowy zwrot"
"GTIN Attribute","Atrybut GTIN"
"Handling Time Maximum (days)","Czas obsługi maksymalny (dni)"
"Handling Time Minimum (days)","Minimalny czas obsługi (dni)"
"Include Ratings & Reviews","Dołącz oceny i opinie"
"Local Business","Lokalny biznes"
"MPN Attribute","Atrybut MPN"
"Online Store","Sklep online"
"Organization","Organizacja"
"Organization Type","Typ organizacji"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Wyjścia <strong>JSON-LD ustrukturyzowane dane</strong> zgodnie ze schematem. org i wymogami Google'a, umożliwiające bogate wyniki dla produktów, okrucieństwa, informacje o organizacji i wyszukiwanie stron. Potwierdź swoje strony za pomocą testu <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Atrybut produktu posiadający numer produktu globalnego (UPC/EAN/ISBN)."
"Product attribute holding the item condition (new, refurbished, used, damaged). Products without a value are emitted as new.","Atrybut produktu przechowujący stan produktu (nowy, przebudowany, użyty, uszkodzony). Produkty bez wartości są emitowane jako nowe."
"Product attribute holding the Manufacturer Part Number.","Atrybut produktu zawierający numer części producenta."
"Product attribute used for the schema.org ""brand"" property.","Atrybut produktu używany dla właściwości ""marka"" schema.org."
"Product Schema","Schemat produktów"
"Return at Kiosk","Powrót w Kiosku"
"Return by Mail","Zwrot przez pocztę"
"Return Countries","Kraje zwrotu"
"Return Fees","Opłaty za zwrot"
"Return in Store","Zwrot w sklepie"
"Return Method","Metoda zwrotu"
"Return Policy","Zasady zwrotu"
"Return Policy Type","Typ zasad zwrotu"
"Returns Not Permitted","Zwroty nie są dozwolone"
"Return Window (days)","Okno zwrotne (dni)"
"Shipping Details","Szczegóły wysyłki"
"Shipping Rate","Cena wysyłki"
"Structured Data (schema.org)","Dane ustrukturyzowane (schema.org)"
"Transit Time Maximum (days)","Maksymalny czas tranzytu (dni)"
"Transit Time Minimum (days)","Minimalny czas tranzytu (dni)"
"Unlimited Return Window","Nieograniczone okno zwrotne"
