"%s wants to connect to your store","%s vill ansluta till din butik"
"-- No Role --","-- Ingen roll --"
"Access Token Lifetime","Livstid för åtkomsttoken"
"Account Information","Kontoinformation"
"Act as you until you revoke this application, or your admin account is disabled.","Agera som du tills du återkallar detta program, eller ditt administratörskonto är inaktiverat."
"Active","Aktiv"
"Add New Role","Lägg till ny roll"
"Add New User","Lägg till ny användare"
"Admin GraphQL at /api/admin/graphql (requires admin auth)","Admin GraphQL på /api/admin/graphql (kräver admin auth)"
"All","Alla"
"All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point.","Alla API-protokoll är <strong>inaktiverade som standard</strong>. Aktivera endast de som du faktiskt använder, något av returnerar 404 vid ingången."
"Allow Applications to Register Themselves","Tillåt program att registrera sig själv"
"API","API"
"API Cache","API Cache"
"API Key","API nyckel"
"API Protocols","API Protocols"
"API Role","API roll"
"API user has been deleted.","API-användaren har tagits bort."
"API user has been saved.","API-användaren sparades framgångsrikt."
"API User Information","API Användarinformation"
"API user not found.","API-användaren hittades inte."
"API v2 Roles","API v2 Roles"
"API v2 Users","API v2-användare"
"Application","Applikation"
"Approve","Godkänn"
"Assign Role","Tilldela roll"
"Authenticated via customer login (email + password). Each customer can only access their own data.","Autentiseras via kundinloggning (e-post + lösenord). Varje kund kan bara komma åt sina egna data."
"Authorization Code Lifetime","Livstid för auktoriseringskod"
"Authorization Server","Auktoriseringsserver"
"Authorize Application","Auktorisera program"
"Cache TTL (seconds)","Cache TTL (sekunder)"
"Can reach","Kan nå"
"Catalog, cart and order tools for %s","Katalog, kundvagn och orderverktyg för %s"
"Check to generate new client_id and client_secret. The old credentials will stop working.","Markera för att generera nya client_id och client_secret. De gamla autentiseringsuppgifterna slutar fungera."
"Client Credentials","Klientuppgifter"
"Client ID","Klient ID"
"Client ID: %s","Klient-ID: %s"
"Client Secret","Klienthemlighet"
"Client Secret: %s","Klienthemlighet: %s"
"Comma-separated list of allowed origins. Defaults to store base URL if empty.","Kommaseparerad lista med tillåtna ursprung. Standardinställningen är att lagra bas-URL om den är tom."
"Connected Applications","Anslutna program"
"Contact Form","Kontaktformulär"
"CORS Allowed Origins","Tillåtna CORS ursprung"
"Created","Skapad"
"Custom","Anpassad"
"Customer Session Operations","Kundens sessionsoperationer"
"Delete API User","Ta bort API-användare"
"Delete Role","Ta bort roll"
"Deny","Neka"
"Edit API User","Redigera API-användare"
"Edit API User '%s'","Redigera API-användare '%s'"
"Edit Role","Redigera roll"
"Edit Role '%s'","Redigera roll '%s'"
"Email","E-post"
"Exposes the REST v2 resource surface to AI agents at /api/mcp. Same bearer tokens and permissions as REST.","Exponerar REST v2 resursytan till AI agenter på /api/mcp. Samma bärare tokens och behörigheter som REST."
"First Name","Förnamn"
"Frontend/customer-facing GraphQL at /api/graphql","Frontend/kundvänd GraphQL vid /api/graphql"
"General Settings","Allmänna inställningar"
"GraphQL, admin","GraphQL, admin"
"GraphQL, public","GrafQL, publik"
"Hidden (stored hashed). Regenerate if needed.","Dold (lagrad hash). Regenerera om det behövs."
"How long API responses are cached. Default: 300 (5 minutes). Set to 0 to disable caching.","Hur länge API-svar cachas. Standard: 300 (5 minuter). Sätt till 0 för att inaktivera cachelagring."
"ID","ID"
"If you approve, this application can:","Om du godkänner kan denna ansökan:"
"Inactive","Inaktiv"
"In seconds (default: 60). A code is used once, seconds after it is issued.","I sekunder (standard: 60). En kod används en gång, sekunder efter att den utfärdats."
"In seconds (default: 3600 = 1 hour)","I sekunder (standard: 3600 = 1 timme)"
"In seconds (default: 86400 = 24 hours)","I sekunder (standard: 86400 = 24 timmar)"
"JWT signing secret. Auto-generated (random) and stored encrypted on first use if left empty.","JWT signeringshemlighet. Auto-genererad (slumpmässig) och lagras krypterad vid första användning om den lämnas tom."
"Last Name","Efternamn"
"Last Used","Senast använd"
"Leave blank to keep the current key.","Lämna tomt för att behålla den aktuella nyckeln."
"Leave empty to allow access to all stores.","Lämna tomt för att tillåta åtkomst till alla butiker."
"Legacy JSON-RPC","Äldre JSON-RPC"
"Legacy REST (Magento 1)","Legacy REST (Magento 1)"
"Legacy SOAP v1","Äldre SOAP v1"
"Legacy SOAP v2","Äldre SOAP v2"
"Legacy XML-RPC","Legacy XML-RPC"
"Lets an application connect with a browser login and your approval, instead of a token pasted by hand. Required by MCP clients such as Claude and ChatGPT. Off by default, like every other protocol.","Låter ett program ansluta med en webbläsare inloggning och ditt godkännande, istället för en token klistras in för hand. Krävs av MCP-klienter som Claude och ChatGPT. Av som standard, som alla andra protokoll."
"MCP (Model Context Protocol)","MCP (Model Context Protocol)"
"MCP Requires Authentication","MCP kräver autentisering"
"Modern REST API at /api/rest/v2/*","Modern REST API vid /api/rest/v2/*"
"New API Key","Ny API-nyckel"
"New API User","Ny API-användare"
"New Role","Ny roll"
"No grantable permissions could be loaded. Run ""composer dump-autoload"" in the Maho root, then reload this page.","Inga behörigheter kunde laddas. Kör ""composer dump-autoload"" i Maho roten och ladda om sidan."
"No permissions needed, these are read-only public endpoints.","Inga behörigheter behövs, dessa är skrivskyddade offentliga slutpunkter."
"OAuth2 Client Credentials","OAuth2 klientuppgifter"
"OAuth2 client_id and client_secret will be generated when you save this user.","OAuth2 client_id och client_secret kommer att genereras när du sparar denna användare."
"OAuth2 Settings","OAuth2 inställningar"
"Off: an agent browses the public catalog tools without a token, and a client is challenged only when it reaches for a tool it may not use. On: /api/mcp challenges every unauthenticated caller. Turn it on if a client will not start the browser login on its own.","Av: en agent bläddrar i offentliga katalogverktyg utan en token, och en kund utmanas endast när den når ett verktyg som den inte får använda. På: /api/mcp utmanar varje oautentiserad uppringare. Slå på den om en klient inte startar webbläsarens inloggning på egen hand."
"Original Magento 1 JSON-RPC at /api/jsonrpc","Original Magento 1 JSON-RPC vid /api/jsonrpc"
"Original Magento 1 REST API at /api/rest/*","Original Magento 1 REST API vid /api/rest/*"
"Original Magento 1 SOAP at /api/soap","Original Magento 1 SOAP vid /api/tvål"
"Original Magento 1 SOAP v2 at /api/v2_soap","Original Magento 1 SOAP v2 vid /api/v2_tvål"
"Original Magento 1 XML-RPC at /api/xmlrpc","Original Magento 1 XML-RPC vid /api/xmlrpc"
"Permissions","Behörigheter"
"Please select an application.","Välj ett program."
"Public Storefront Access","Åtkomst till offentlig skyltfönster"
"Read and change store data through the API, using your own admin permissions.","Läs och ändra lagra data via API, med dina egna administratörsbehörigheter."
"Refresh Token Lifetime","Livstid för uppdateringstoken"
"Regenerate Credentials","Regenerera uppgifter"
"Registered","Registrerad"
"Registration alone grants nothing: an admin must still log in and approve. Turning this off blocks most connector interfaces, which have no way to enter a client id by hand.","Enbart registrering ger ingenting: en administratör måste fortfarande logga in och godkänna. Slå av detta blockerar de flesta kontaktytor, som inte har något sätt att ange en klient id för hand."
"Resource Access","Åtkomst till resurs"
"REST/GraphQL - Roles","REST/GraphQL - Roller"
"REST/GraphQL - Users","REST/GraphQL - Användare"
"Restrict to Stores","Begränsa till butiker"
"REST v2 (new)","REST v2 (ny)"
"Revoke Access","Återkalla åtkomst"
"Revoke access for the selected applications?","Återkalla åtkomst för de valda programmen?"
"Revoked %d grant(s). Access tokens already issued stop working when they expire.","Återkallat %d bidrag (s). Åtkomsttokens som redan har utfärdats sluta fungera när de löper ut."
"Role","Roll"
"Role has been deleted.","Rollen har tagits bort."
"Role has been saved.","Rollen har sparats."
"Role Info","Rollinformation"
"Role Information","Information om roll"
"Role Name","Rollens namn"
"Role name is required.","Rollnamn måste fyllas i."
"Save and Continue Edit","Spara och fortsätt redigera"
"Save API User","Spara API-användare"
"Save Role","Spara roll"
"Save these credentials now. The secret cannot be retrieved later.","Spara dessa uppgifter nu. Hemligheten kan inte hämtas senare."
"Sends you back to","Skickar tillbaka till"
"Service Account Permissions","Behörigheter för tjänstkonto"
"Status","Status"
"Symfony App Secret","Apphemlighet för Symfoni"
"System","System"
"The authorization could not be completed.","Godkännandet kunde inte slutföras."
"These operations use customer JWT tokens obtained when a customer logs in. They are scoped to the logged-in customer's own data and cannot be granted to service accounts.","Dessa verksamheter använder kunden JWT-tokens som erhållits när en kund loggar in. De omfattas av den inloggade kundens egna uppgifter och kan inte beviljas tjänstekonton."
"These permissions control what API users (service accounts) can do. Grant only the operations each integration needs.","Dessa behörigheter styr vad API-användare (tjänstekonton) kan göra. Bevilja endast de operationer som varje integration behöver."
"These resources are publicly readable without authentication. Any visitor or app can access this data via GET requests.","Dessa resurser är offentligt läsbara utan autentisering. Alla besökare eller appar kan komma åt dessa data via GET-förfrågningar."
"This API user no longer exists.","Denna API-användare finns inte längre."
"This application registered itself and has not been verified. Approve it only if you started this connection yourself.","Denna ansökan registrerades själv och har inte verifierats. Godkänn den endast om du startade denna anslutning själv."
"This authorization request expired or is no longer valid. Start again from the application.","Denna auktoriseringsbegäran har löpt ut eller är inte längre giltig. Starta igen från applikationen."
"This role no longer exists.","Denna roll existerar inte längre."
"Unnamed client","Namnlös klient"
"User Info","Användarinformation"
"Username","Användarnamn"
"User Role","Användarens roll"
"Verified","Verifierad"
"You denied the connection.","Du nekade anslutningen."
"Your admin role may not approve API connections.","Din administratörsroll kanske inte godkänner API-anslutningar."
