"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"Account Created In Store","Ο Λογαριασμός Δημιουργήθηκε Στο Κατάστημα"
"Action","Ενέργεια"
"Active","Ενεργό"
"Added to Cart Date","Προστέθηκε στην ημερομηνία καλαθιού"
"Added to Wishlist Date","Προστέθηκε στην ημερομηνία λίστας επιθυμιών"
"Add Email Step","Προσθήκη Βήματος Email"
"Add New Segment","Προσθήκη Νέου Τμήματος"
"Address","Διεύθυνση"
"Address Information","Πληροφορίες Διεύθυνσης"
"Add Segment","Προσθήκη Τμήματος"
"Allow Overlapping Sequences","Επίτρεψε Αλληλουχίες Επικαλυπτόμενων"
"Allow starting new sequences while existing ones are still active for the same customer","Επιτρέψτε την εκκίνηση νέων ακολουθιών ενώ οι υπάρχουσες εξακολουθούν να είναι ενεργές για τον ίδιο πελάτη"
"Applied Promotion Rules","Εφαρμοσμένοι Κανόνες Προώθησης"
"Are you sure?","Είσαι σίγουρος?"
"Are you sure you want to delete this sequence step?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτό το βήμα ακολουθίας?"
"Are you sure you want to refresh this segment?","Είστε βέβαιοι ότι θέλετε να ανανεώσετε αυτό το τμήμα?"
"Assign to Website","Αντιστοίχιση στην ιστοσελίδα"
"At least one email sequence is required when automation is enabled.","Απαιτείται τουλάχιστον μία ακολουθία email όταν είναι ενεργοποιημένος ο αυτοματισμός."
"Automatic","Αυτόματο"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automatic: Ανανέωση καθημερινά μέσω cron. Manual: Πρέπει να ανανεωθεί χειροκίνητα."
"Average Days Between Orders","Μέσος Όρος Ημερών Μεταξύ Παραγγελιών"
"Average Order Value","Μέση Τιμή Παραγγελίας"
"Back to Segment","Πίσω στο τμήμα"
"Base Row Total","Σύνολο Γραμμής Βάσης"
"Base Sales Rule","Βασικός Κανόνας Πωλήσεων"
"Bundle Product","Δέσμη Προϊόντων"
"Cart","Καλάθι"
"Cart Created Date","Ημερομηνία Δημιουργίας Καλαθιού"
"Cart Items","Αντικείμενα Καλαθιού"
"Cart Status","Κατάσταση Καλαθιού"
"Cart Updated Date","Ημερομηνία Ενημέρωσης Από Καλάθι"
"Change status","Αλλαγή κατάστασης"
"Completed","Ολοκληρώθηκε"
"Conditions (leave blank for all customers)","Προϋποθέσεις (αφήστε κενό για όλους τους πελάτες)"
"Configurable Product","Διαμορφώσιμο Προϊόν"
"Coupon expiration days","Ημέρες λήξης κουπονιού"
"Coupon expiration days cannot be negative.","Οι ημέρες λήξης κουπονιού δεν μπορούν να είναι αρνητικές."
"Coupon Generation Settings","Ρυθμίσεις Δημιουργίας Κουπονιού"
"Coupon Prefix","Πρόθεμα Κουπονιού"
"Customer","Πελάτης"
"Customer ID is required.","Απαιτείται ID πελάτη."
"Customer Lifetime Value","Τιμή Διάρκειας Ζωής Πελάτη"
"Customer Personal Information","Προσωπικές Πληροφορίες Πελάτη"
"Customer Segment","Τμήμα Πελάτη"
"Customer Since","Πελάτης Από"
"Customers in Segment","Πελάτες στο Τμήμα"
"Customer Time-based","Χρόνος Πελάτη"
"days","ημέρες"
"Days Inactive (No Login or Order)","Ημέρες ανενεργές (χωρίς σύνδεση ή σειρά)"
"Days Since Added to Wishlist","Ημέρες από τότε που προστέθηκαν στη λίστα επιθυμιών"
"Days Since First Order","Ημέρες Από Την Πρώτη Παραγγελία"
"Days Since Last Login","Ημέρες Από Την Τελευταία Σύνδεση"
"Days Since Last Order","Ημέρες Από Την Τελευταία Παραγγελία"
"Days Since Last View","Ημέρες Από Την Τελευταία Προβολή"
"Days Since Registration","Ημέρες Από Την Εγγραφή"
"Days Until Birthday","Ημέρες Μέχρι Τα Γενέθλια"
"Days Without Purchase","Ημέρες Χωρίς Αγορά"
"Delay","Καθυστέρηση"
"Delay (Minutes)","Καθυστέρηση (Λεπτά)"
"Delay before sending","Καθυστέρηση πριν την αποστολή"
"Delay minutes cannot be negative.","Τα λεπτά καθυστέρησης δεν μπορούν να είναι αρνητικά."
"Delete","Διαγραφή"
"Delete Email Sequences","Διαγραφή Ακολουθιών Email"
"Delete Segment","Διαγραφή Τμήματος"
