"%s items queued for embedding.","%s elemente puse la coadă pentru încorporare."
"Action","Acțiune"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: nu a putut actualiza modelele pentru %s. Vezi exception.log."
"AI: refreshed %d models for %s.","AI: actualizat modele %d pentru %s."
"AI Configuration","Configurare AI"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","Utilizare AI"
"already queued","deja în așteptare"
"Async Queue","Coada Async"
"Auto-embed Categories","Categorii de încorporare automată"
"Auto-embed Products","Produse auto-încorporate"
"Back","Înapoi"
"Background","Context"
"Blocked Input Patterns","Modele de intrare blocate"
"Calls","Apeluri"
"Cancelled","Anulat"
"Categories (%s active)","Categorii (%s activ)"
"Complete","Complete"
"Completed","Completat"
"Completion","Finalizare"
"Consumer","Consumator"
"Context","Context"
"Current Configuration","Configurația curentă"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Înălțime implicit substituent"
"Default Placeholder Width","Lățime implicit substituent"
"Disabled","Dezactivat"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","ex. openai/gpt-4o, antropic/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Constatări"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Integrarea este dezactivată. Activați-o în System &gt; AI &gt; Încorporați Setările înainte de a coada."
"Embed Provider","Încorporează furnizorul"
"Embed Status","Stare de Încorporare"
"Enable Async Queue","Activează lista Async"
"Enabled","Activat"
"Enable Embeddings","Activați încorporate"
"Enable Image Generation","Activează Generarea Imaginilor"
"Error","Eroare"
"Error: ","Eroare: "
"Estimated completion: ~%d hours %d minutes.","Finalizare estimată: ~%d ore %d minute."
"Estimated completion: ~%d minutes.","Finalizare estimată: ~%d minute."
"Failed","Eșuat"
