"%s message(s) discarded.","%s message(s) discarded."
"%s message(s) re-queued.","%s message(s) re-queued."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","Μηνύματα ουράς %s διεκδικήθηκαν από έναν εργαζόμενο που δεν τελείωσε ποτέ. Δεν είναι αυτομάτως σε αναμονή: <a href=""%s"">προσπαθήστε ξανά ή απορρίψτε τα</a>."
"0 keeps failed messages forever.","0 κρατά τα αποτυχημένα μηνύματα για πάντα."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 αφαιρεί τα μηνύματα αμέσως μετά την επιτυχία· μια θετική τιμή τα κρατά ορατά στο πλέγμα για πολλές ημέρες."
"Action","Ενέργεια"
"Available","Διαθέσιμο"
"Available (UTC)","Διαθέσιμο (UTC)"
"Back","Πίσω"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Επεξεργασία μηνυμάτων στο παρασκήνιο. Maho cron κρατά ένα αποσπασμένο ""ουρά:work"" εργάτη τρέχει ανά πισίνα: ένας κάτοικος ""γρήγορος"" εργαζόμενος τόσο σύντομο θέσεις εργασίας ποτέ δεν ουρά πίσω από μεγάλες, συν ένα ""αργό"" catch-all ξεκίνησε μόνο όταν έχει δουλειά. Και οι δύο επανεμφανίζονται μέσα σε ένα λεπτό, αν πεθάνουν. Οι πισίνες δηλώνονται σε config.xml κάτω από την καθολική/ουρά/πισίνες."
"Body (serialized)","Σώμα (σειριακή)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Ολοκληρώθηκε"
"Discard","Απορρίψτε"
"Discard Messages","Απόρριψη Μηνυμάτων"
"Each retry waits this many times longer than the previous one.","Κάθε επανάληψη περιμένει αυτό πολλές φορές περισσότερο από την προηγούμενη."
"Error","Σφάλμα"
"Failed","Απέτυχε"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Τα αποτυχημένα μηνύματα ξαναδοκιμάζονται πολλές φορές με εκθετικό backoff, και στη συνέχεια σημειώνονται αποτυχία."
"ID","ID"
"Initial Retry Delay (seconds)","Αρχική Καθυστέρηση Επανάληψης (δευτερόλεπτα)"
"Keep Completed Messages (days)","Διατήρηση Ολοκληρωμένων Μηνυμάτων (Ημέρες)"
"Keep Failed Messages (days)","Διατήρηση Αποτυχημένων Μηνυμάτων (Ημέρες)"
"Max Retries","Μέγιστες Επαναλήψεις"
"Max Retry Delay (seconds)","Μέγιστη Καθυστέρηση Επανάληψης (δευτερόλεπτα)"
"Message","Μήνυμα"
"Message #%s","Μήνυμα #%s"
"Message Class","Message Class"
"Message Details","Λεπτομέρειες Μηνύματος"
"Message discarded.","Το μήνυμα απορρίφθηκε."
"Message not found.","Το μήνυμα δεν βρέθηκε."
"Message Queue","Ουρά Μηνύματος"
"Message re-queued.","Μήνυμα εκ νέου στην ουρά."
"Pending","Εκκρεμεί"
"Permanently delete the selected messages?","Μόνιμη διαγραφή των επιλεγμένων μηνυμάτων?"
"Permanently delete this message?","Μόνιμη διαγραφή αυτού του μηνύματος?"
"Processed (UTC)","Επεξεργασία (UTC)"
"Processing","Επεξεργασία"
"Queue","Ουρά"
"Queued","Σε Αναμονή"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Αναμονή των επιλεγμένων μηνυμάτων?"
"Re-queue this message?","Αναμονή αυτού του μηνύματος?"
"Retries","Επαναλήψεις"
"Retry","Επανάληψη"
"Retry Delay Multiplier","Πολλαπλασιαστής Καθυστέρησης"
"Retry Messages","Επανάληψη Μηνυμάτων"
"Status","Κατάσταση"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Το μήνυμα δεν δοκιμάστηκε: μόνο απέτυχε ή κολλήσει μηνύματα χωρίς ένα νεότερο αντίγραφο του κλειδιού dedupe τους μπορεί να επανεξεταστεί."
"Upper bound for the backoff. 0 means no bound.","Άνω όριο για το backoff. 0 σημαίνει ότι δεν δεσμεύονται."
"View","Προβολή"
"View Messages","Προβολή Μηνυμάτων"
