"3D Secure","3D Turvallinen"
"Actions","Toiminnot"
"Added","Lisätty"
"Allows logged-in customers to save their payment methods for faster future checkouts. Saved tokens are stored securely by PayPal.","Mahdollistaa kirjautuneiden asiakkaiden tallentaa maksutapansa nopeampiin tuleviin maksuihin. Tallennetut rahakkeet tallennetaan turvallisesti PayPalin toimesta."
"Are you sure you want to delete this payment method?","Oletko varma, että haluat poistaa tämän maksutavan?"
"Authorization ID","Valtuutuksen Tunnus"
"Authorize and Capture","Valtuuta ja talteenota"
"Authorize Only","Vain Valtuutus"
"Automatically populated after clicking ""Register Webhook"". Used to verify the authenticity of incoming PayPal notifications.","Näytetään automaattisesti ""Rekisteröidy Webhook"". Käytetään todentamaan saapuvien PayPal-ilmoitusten autenttisuus."
"AVS Code","AVS-koodi"
"Bancontact","Bankontakti"
"BLIK","BLIK"
"Capture ID","Kaappaa Tunniste"
"Cart is empty.","Ostoskori on tyhjä."
"Client ID","Asiakkaan Tunnus"
"Client Secret","Asiakkaan Salainen"
"Confirm your payment with PayPal, then click ""Place Order"".","Vahvista maksusi PayPalilla ja napsauta ""Place Order""."
"Connection failed. Please check your credentials.","Yhteys epäonnistui. Tarkista käyttäjätunnuksesi."
"Connection failed: %s","Yhteys epäonnistui: %s"
"Connection successful.","Yhteys onnistui."
"Could not acquire order lock.","Tilauksen lukitusta ei voitu saada."
"CVV Code","CVV Koodi"
"Debug Mode","Vianetsintä Tila"
"Delete","Poista"
"Display on Product Page","Näytä tuotesivulla"
"Display on Shopping Cart","Näytä ostoskorissa"
"Displays inline credit/debit card fields directly on your checkout page. Customers enter their card details without being redirected to PayPal. Requires PayPal Advanced Checkout eligibility.","Näyttää inline credit/debit -kortin kentät suoraan kassasivullasi. Asiakkaat syöttävät korttitietonsa ilman ohjausta PayPaliin. Vaatii PayPal Advanced Checkout tukikelpoisuuden."
"Displays PayPal buttons at checkout. Customers pay with their PayPal account, Pay Later, or other PayPal-supported methods without leaving your site.","Näyttää PayPal-painikkeet kassalla. Asiakkaat maksavat PayPal-tilin, Pay Myöhemmin, tai muut PayPal-tuetut menetelmät jättämättä sivustoasi."
"Enabled","Käytössä"
"eps","eps"
"Failed to create PayPal order.","PayPal-tilauksen luonti epäonnistui."
"Failed to create PayPal order: %s","Paypal tilauksen luonti epäonnistui: %s"
"Failed to register webhook.","Webhookin rekisteröinti epäonnistui."
"giropay","giropay"
"iDEAL","iDEAL"
"Invalid form key.","Virheellinen lomakkeen avain."
"Invalid payment method.","Virheellinen maksutapa."
"Log API requests and responses to var/log/paypal.log","Kirjaa API pyynnöt ja vastaukset var/log/paypal.log"
"Missing PayPal order ID.","Puuttuva PayPal-tilaustunnus."
"MyBank","MyBank"
"No PayPal authorization ID found for void.","Paypal valtuutustunnusta ei löytynyt mitätöidylle."
"No PayPal authorization or order ID found for capture.","PayPal-valtuutusta tai tilaustunnusta ei löytynyt kaappaukselle."
"No PayPal capture ID found for refund.","PayPal-kaappaustunnusta ei löytynyt palautusta varten."
"No saved payment methods available.","Ei tallennettuja maksutapoja saatavilla."
"No saved payment methods available for this customer.","Tälle asiakkaalle ei ole tallennettuja maksutapoja."
"Payer Email","Maksajan Sähköposti"
"Payer ID","Payer ID"
"Pay Later","Maksa Myöhemmin"
"Pay Later Messaging","Maksa Myöhemmin Viestit"
"Payment Action","Maksun Toiminto"
"Payment Method","Maksutapa"
"Payment method has been deleted.","Maksutapa on poistettu."
"PayPal","Paypal"
"PayPal - Advanced Checkout (Card Fields)","PayPal - Edistyneet Kassat (Korttikentät)"
"PayPal - General Settings","PayPal - Yleiset Asetukset"
"PayPal - Standard Checkout (PayPal Buttons)","PayPal - Normaali Kassalle (Paypal Painikkeet)"
"PayPal - Vault (Saved Payment Methods)","PayPal - Holvi (Tallennetut Maksutavat)"
"PayPal capture failed: no capture ID returned.","PayPal-tallennus epäonnistui: kaappaustunnusta ei palautettu."
"PayPal Client ID and Client Secret are required when a PayPal payment method is enabled.","PayPal Client ID ja Client Secret ovat pakollisia, kun PayPal maksutapa on käytössä."
"PayPal Credit","PayPal-saldo"
"PayPal did not return a payer email address.","PayPal ei palauttanut maksajan sähköpostiosoitetta."
"PayPal order amount does not match this cart.","PayPal-tilauksen summa ei vastaa tätä ostoskoria."
"PayPal order could not be approved. Status: %s","PayPal-tilausta ei voitu hyväksyä. Tila: %s"
"PayPal order currency does not match this cart.","PayPal tilauksen valuutta ei täsmää tähän ostoskoriin."
"PayPal order does not belong to this cart.","PayPal-tilaus ei kuulu tähän ostoskoriin."
"PayPal Order ID","Paypal Tilaustunnus"
"PayPal order ID not found.","PayPal-tilauksen tunnusta ei löytynyt."
"Please complete the PayPal payment before placing the order.","Ole hyvä ja suorita PayPal-maksu ennen tilauksen tekemistä."
"Processor Response","Prosessorin Vastaus"
"Przelewy24","Przelewy24"
"Quote is no longer active and no matching order was found.","Tarjous ei ole enää aktiivinen eikä vastaavaa tilausta löytynyt."
"Registers a webhook with PayPal to receive real-time notifications for payments, refunds, and disputes. Requires a publicly accessible HTTPS URL.","Rekisteröi verkkokoukun PayPalilla saadaksesi reaaliaikaisia ilmoituksia maksuista, palautuksista ja riita-asioista. Vaatii julkisesti saatavilla olevan HTTPS URL-osoitteen."
"Register Webhook","Rekisteröi Webkoukku"
"Review your order on the next step to confirm your payment with PayPal.","Tarkista tilauksesi seuraavassa vaiheessa ja vahvista maksusi PayPalilla."
"Sandbox Mode","Hiekkalaatikon Tila"
"Saved Payment","Tallennettu Maksu"
"Saved Payment Method","Tallennettu Maksutapa"
"Saved Payment Methods","Tallennetut Maksutavat"
"Save this payment method for future purchases","Tallenna tämä maksutapa tulevia ostoksia varten"
"Send cart line items to PayPal for display during checkout.","Lähetä ostoskoririvin tuotteet PayPaliin näytettäväksi kassalla."
"SEPA","SEPA"
"Sofort","Sofort"
"Sort Order","Järjestä Järjestys"
"Test Connection","Testaa Yhteys"
