"Add Recipient","Aggiungi Destinatario"
"Allow for Guests","Consenti agli ospiti"
"An invalid email address for recipient was entered.","È stato inserito un indirizzo email non valido."
"At least one recipient must be specified.","Almeno un destinatario deve essere specificato."
"Back","Indietro"
"Catalog Product Email to a Friend","Catalogo Email prodotto ad un amico"
"Email Address","Indirizzo Email"
"Email Address:","Indirizzo Email:"
"Email Templates","Modelli Email"
"Email to a Friend","Invia un'email ad un amico"
"Email:","Email:"
"Enabled","Abilitato"
"Invalid Sender Information","Informazioni Mittente Non Valido"
"Invalid sender email.","Invalid sender email."
"Limit Sending By","Limite Di Invio Per"
"Max Products Sent in 1 Hour","Max prodotti inviati in 1 ora"
"Max Recipients","Destinatari Massimi"
"Maximum %d email addresses allowed.","Indirizzi email %d consentiti."
"Message:","Messaggio:"
"Name","Nome"
"Name:","Nome:"
"No more than %d emails can be sent at a time.","Non più di %d le email possono essere inviate alla volta."
"Please define a correct Cookie instance.","Si prega di definire un'istanza di Cookie corretta."
"Please define a correct Product instance.","Definisci un'istanza di Prodotto corretta."
"Please define the correct Sender information.","Definisci le informazioni corrette del Mittente."
"Recipient:","Destinatario:"
"Remove Email","Remove Email"
"Select Email Template","Seleziona Modello Email"
"Send Email","Invia Email"
"Send product to a friend","Invia prodotto ad un amico"
"Sender:","Mittente:"
"Some emails were not sent.","Alcune email non sono state inviate."
"The link to a friend was sent.","Il link ad un amico è stato inviato."
"The message cannot be empty.","Il messaggio non può essere vuoto."
"The messages cannot be sent more than %d times in an hour","I messaggi non possono essere inviati più di %d volte in un'ora"
"The sender name cannot be empty.","Il nome del mittente non può essere vuoto."
"There were some problems with the data.","C'erano alcuni problemi con i dati."
"You have exceeded limit of %d sends in an hour","Hai superato il limite di %d invia tra un'ora"
