"(not processed yet)","(no procesado aún)"
"0 disables the limit.","0 deshabilita el límite."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it."
"Abuse Protection","Protección contra abusos"
"Accepted","Aceptado"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","Aceptar o rechazar sólo registra la decisión y añade una nota a este pedido. El estado de la orden, el estado y cualquier reembolso se quedan sin cambios."
"Accept Revocation","Aceptar revocación"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","¿Aceptar esta revocación? Esto registra la decisión y añade una nota al pedido correspondiente. No hay cambios en el estado del pedido o el reembolso automáticamente."
"A confirmation email is on its way to you.","Un correo electrónico de confirmación está en camino a usted."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Añade un campo de trampa invisible. Los envíos que lo llenan se soltan silenciosamente como tráfico de bots."
"Back","Atrás"
"Button Label","Etiqueta de botón"
"Cooling-Off Period (Days)","Periodo de Enfriamiento (Días)"
"create a credit memo","crear una factura rectificada"
"CSV","CSV"
"Customer Name","Nombre del cliente"
"Customer Receipt Template","Plantilla de recibo del cliente"
"Customer submitted revocation request #%s via their account.","El cliente presentó la solicitud de revocación #%s a través de su cuenta."
"Custom Label","Etiqueta"
"Declaration (read-only legal record)","Declaración (registro legal de sólo lectura)"
"Email","E-mail"
"Email Sender","Remitente de Email"
"Email Settings","Ajustes de Email"
"Email Suppressed","Email suprimido"
"Enabled","Activado"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","Directiva de la UE 2023/2673 (en Alemania: &sect;356a BGB) requiere que las tiendas B2C que venden a la UE proporcionen un botón de revocación a partir del 19 de junio de 2026. Este módulo proporciona ese canal."
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Todavía se registran más solicitudes, pero el correo electrónico de recibo del cliente es suprimido (visible y reenviable en la cuadrícula de administración). Derrota a los bombardeos por correo electrónico de terceros. 0 desactiva el límite."
"General","General"
"Honeypot Field","Campo de Honeypot"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Si no recibes un correo electrónico de confirmación en unos minutos, por favor contáctanos a %s y cite tu número de referencia."
"I hereby revoke this contract","He revocado este contrato"
"Information Requested","Información solicitada"
"Internal Note","Nota interna"
"Invalid decision.","Decisión inválida."
"Invalid form key. Please refresh the page and try again.","Clave de formulario no válida. Por favor, actualiza la página e inténtalo de nuevo."
"Invalid processing status.","Estado de procesamiento inválido."
"IP Address","Dirección IP"
"Leave empty to use the General Contact email address.","Dejar en blanco para usar la dirección de correo electrónico general de contacto."
"Leave empty to use the label configured under Sales > Revocation Button.","Dejar en blanco para usar la etiqueta configurada bajo el botón Ventas > Revocación."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Deje en blanco para utilizar la traducción predeterminada (""Revocar contrato"" / ""Vertrag widerrufen"")."
"Link Order","Enlazar pedido"
"Link to order (increment ID):","Enlace al pedido (incremento ID):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Enlace al formulario de revocación del contrato (Directiva de la UE 2023/2673)."
"Locale","Local"
"Mark as Accepted","Marcar como Aceptado"
"Mark as Rejected","Marcar como rechazada"
"Mark the selected requests as accepted? The matched orders are not modified.","¿Marcar las solicitudes seleccionadas como aceptadas? Los pedidos correspondientes no se han modificado."
"Mark the selected requests as rejected? The matched orders are not modified.","¿Marcar las solicitudes seleccionadas como rechazadas? Las órdenes correspondientes no se modifican."
"Matched Order","Pedido coincidente"
"Merchant Notification Email","Email de notificación de comerciante"
"Merchant Notifications per Store per Hour","Notificaciones de comerciante por tienda por hora"
"Merchant Notification Template","Plantilla de notificación de comerciante"
"Minimum Submit Time (Seconds)","Tiempo mínimo de envío (segundos)"
"Must only acknowledge receipt of the declaration, never acceptance.","Sólo debe reconocer la recepción de la declaración, nunca la aceptación."
"Name","Nombre"
"No","Nu"
"No (self-asserted via the public form)","No (autocomprobado a través de la forma pública)"
"No order could be matched to this request. The customer typed ""%s"".","Ningún pedido pudo ser comparado con esta solicitud. El cliente escribió ""%s""."
"No order found for increment ID ""%s"".","No se encontró ningún pedido para incrementar ID ""%s""."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Sólo se utilizan medidas de fondo invisibles (miel, tiempo de presentación, captcha invisible, límites de velocidad).<br>Los CAPTCHAs manuales y los enlaces de verificación de correo electrónico son legalmente inadecuados para el formulario de revocación. No ajusten estos límites de forma tan estricta que los clientes legítimos estén bloqueados."
"Order","Pedido"
"Order Number","Número de pedido"
"Order Reference","Referencia de pedido"
"Please enter a valid email address.","Por favor, introduzca una dirección de correo electrónico válida."
"Please fill in your name, your order reference and your email address.","Introduzca su nombre, su referencia de pedido y su dirección de correo electrónico."
"Please select request(s).","Por favor, seleccione solicitud(es)."
"Processed At","Procesado en"
"Processed Status","Estado procesado"
"Processing","Procesando"
"Process Requests","Solicitudes de proceso"
"Reason","Razón"
"Reason (optional)","Razón (opcional)"
"Receipt Emails per Recipient per Day","Recibir correos electrónicos por destinatario por día"
"Received","Recibido"
"Received at","Recibido el"
"Received at (UTC)","Recibido el (UTC)"
"Reference number","Número de referencia"
"Rejected","Rechazado"
"Reject Revocation","Rechazar revocación"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","¿Rechazar esta revocación? Esto registra la decisión y añade una nota a la orden correspondiente. Ningún estado del pedido cambia automáticamente."
"Request #%s","Solicitar #%s"
"Resend Receipt Email","Reenviar Email de Recibo"
"Resend the receipt email to %s?","¿Reenviar el correo electrónico de recibo a %s?"
"Revocation Button","Botón de Revocación"
"Revocation Form","Formulario de revocación"
"Revocation Merchant Notification","Notificación de Comerciante de Revocación"
"Revocation Receipt Confirmation","Confirmación de recibo de revocación"
"Revocation received","Revocación recibida"
"Revocation Request","Solicitud de revocación"
"Revocation Request #%s","Solicitud de Revocación #%s"
"Revocation request #%s accepted.","Solicitud de cancelación #%s aceptada."
"Revocation request #%s rejected.","Solicitud de cancelación #%s rechazada."
"Revocation Requests","Solicitudes de revocación"
"Revocation Success","Revocación Exitosa"
"Revoke contract","Revocar contrato"
"Revoke this contract","Revocar este contrato"
"Sales","Ventas"
"Save Note","Guardar nota"
"Store View","Vista de tienda"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Los envíos más rápido que esto después del procesamiento de la página se eliminan silenciosamente como tráfico de bots. 0 deshabilita la comprobación."
"Submissions per IP per Hour","Envíos por IP por hora"
