"-- None --","-- Nenhum --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Adiciona agregateRating (valor de classificação e contagem de revisão) e nós de revisão individuais (nome do revisor e texto de revisão) ao esquema do produto quando os comentários estão habilitados."
"Automatic (from Right of Withdrawal settings)","Automático (à direita das configurações de retirada)"
"Automatic emits a finite return window from the Right of Withdrawal settings when that feature is enabled, and nothing otherwise. Never advertise a policy the store does not honor.","Emite automaticamente uma janela de retorno finita a partir do Direito de Retirada quando esse recurso é ativado, e nada mais. Nunca anuncie uma política que a loja não honre."
"Brand Attribute","Atributo da Marca"
"Condition Attribute","Atributo de condição"
"Countries the return policy applies to. Leave empty to use the merchant country, or the shipping origin country when the merchant country is not set.","Os países onde a política de devolução se aplica. Deixe vazio para usar o país mercante, ou o país de origem do transporte quando o país mercantil não for definido."
"Customer Pays Return Shipping","Enviar Devolução ao Cliente"
"Days between order and shipment. Both minimum and maximum are needed to emit handlingTime.","Dias entre ordem e envio. Tanto o mínimo quanto o máximo são necessários para lidar com o Time."
"Days between shipment and delivery. Both minimum and maximum are needed to emit transitTime.","Dias entre o envio e a entrega. Tanto o mínimo quanto o máximo são necessários para emitir o tempo de trânsito."
"Do Not Emit","Não Emitir"
"Enable Structured Data","Ativar Dados Estruturados"
"Finite Return Window","Janela de retorno finita"
"Flat shipping rate in base currency for the schema.org shippingDetails node. Leave empty to derive the rate from the active Flat Rate and Free Shipping carriers. Destination countries come from the carrier and store shipping country settings.","Taxa de envio plana na moeda base para o nó shippingDetalhes da schema.org. Deixe em branco para derivar a taxa fixa ativa e as transportadoras de frete grátis. Os países de destino vêm da transportadora e armazenam as configurações do país de envio."
"Free Return","Retorno Grátis"
"GTIN Attribute","Atributo GTIN"
"Handling Time Maximum (days)","Tempo Máximo do Tratamento (dias)"
"Handling Time Minimum (days)","Tempo mínimo (dias)"
"Include Ratings & Reviews","Incluir Avaliações & Avaliações"
"Local Business","Negócio local"
"MPN Attribute","Atributo MPN"
"Online Store","Loja on-line"
"Organization","Cliente"
"Organization Type","Tipo de organização"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Saídas <strong>dados JSON-LD estruturados</strong> seguindo os requisitos schema.org e do Google, permitindo resultados ricos para produtos, breadcrumbs, informações de organização e pesquisa de site. Valide suas páginas com o Teste de Resultados <a href=""https://search.google.com/test/rich-results"" target=""_blank"">do Google Rich</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Atributo do produto que segura o número do item comercial global (UPC/EAN/ISBN)."
"Product attribute holding the item condition (new, refurbished, used, damaged). Products without a value are emitted as new.","Atributo do produto segurando a condição do item (nova, renovada, usada, danificada). Produtos sem valor são emitidos como novo."
"Product attribute holding the Manufacturer Part Number.","Atributo do produto que contém o número de peça do fabricante."
"Product attribute used for the schema.org ""brand"" property.","Atributo de produto usado na propriedade ""schema.org"" brand""."
"Product Schema","Esquema do Produto"
"Return at Kiosk","Retorne ao Kiosk"
"Return by Mail","Devolução por E-mail"
"Return Countries","Países de retorno"
"Return Fees","Tarifas de devolução"
"Return in Store","Retorno na Loja"
"Return Method","Método de devolução"
"Return Policy","Política de devolução"
"Return Policy Type","Tipo de Política de devolução"
"Returns Not Permitted","Devolução não permitida"
"Return Window (days)","Janela de Devolução (dias)"
"Shipping Details","Detalhes do envio"
"Shipping Rate","Taxa de envio"
"Structured Data (schema.org)","Dados estruturados (schema.org)"
"Transit Time Maximum (days)","Tempo máximo de trânsito (dias)"
"Transit Time Minimum (days)","Tempo mínimo de trânsito (dias)"
"Unlimited Return Window","Janela de retorno ilimitada"
