"Add Recipient","Empfänger hinzufügen"
"Allow for Guests","Für Gäste erlauben"
"An invalid email address for recipient was entered.","Eine ungültige E-Mail-Adresse für den Empfänger wurde eingegeben."
"At least one recipient must be specified.","Mindestens ein Empfänger muss angegeben werden."
"Back","Zurück"
"Catalog Product Email to a Friend","Katalogprodukt E-Mail an einen Freund"
"Email Address","E-Mail-Adresse"
"Email Address:","E-Mail-Adresse:"
"Email Templates","E-Mail-Vorlagen"
"Email to a Friend","E-Mail an einen Freund"
"Email:","Email:"
"Enabled","Aktiviert"
"Invalid Sender Information","Ungültige Absender-Informationen"
"Invalid sender email.","Invalid sender email."
"Limit Sending By","Sendelimit von"
"Max Products Sent in 1 Hour","Max. Artikel in 1 Stunde gesendet"
"Max Recipients","Max. Empfänger"
"Maximum %d email addresses allowed.","Maximale %d E-Mail-Adressen erlaubt."
"Message:","Nachricht:"
"Name","Name"
"Name:","Name:"
"No more than %d emails can be sent at a time.","Nicht mehr als %d E-Mails können gleichzeitig versendet werden."
"Please define a correct Cookie instance.","Bitte definieren Sie eine korrekte Cookie-Instanz."
"Please define a correct Product instance.","Bitte definieren Sie eine korrekte Produkt-Instanz."
"Please define the correct Sender information.","Bitte definieren Sie die korrekte Absender-Information."
"Recipient:","Empfänger:"
"Remove Email","Remove Email"
"Select Email Template","E-Mail-Vorlage auswählen"
"Send Email","E-Mail senden"
"Send product to a friend","Artikel an einen Freund senden"
"Sender:","Sender:"
"Some emails were not sent.","Einige E-Mails wurden nicht versendet."
"The link to a friend was sent.","Der Link an einen Freund wurde gesendet."
"The message cannot be empty.","Die Nachricht darf nicht leer sein."
"The messages cannot be sent more than %d times in an hour","Die Nachrichten können nicht mehr als %d mal in einer Stunde gesendet werden"
"The sender name cannot be empty.","Der Absendername darf nicht leer sein."
"There were some problems with the data.","Es gab einige Probleme mit den Daten."
"You have exceeded limit of %d sends in an hour","Sie haben das Limit von %d in einer Stunde überschritten"
