"%s items queued for embedding.","%s αντικείμενα στην ουρά για ενσωμάτωση."
"Action","Ενέργεια"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: δεν ήταν δυνατή η ανανέωση μοντέλων για %s. Δείτε exception.log."
"AI: refreshed %d models for %s.","AI: ανανεωμένο %d μοντέλα για %s."
"AI Configuration","Ρύθμιση Τεχνητής Νοημοσύνης"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","Χρήση AI"
"already queued","ήδη σε αναμονή"
"Async Queue","Async Ουρά"
"Auto-embed Categories","Κατηγορίες Αυτόματης Ενσωμάτωσης"
"Auto-embed Products","Προϊόντα Αυτόματης Ενσωμάτωσης"
"Back","Πίσω"
"Background","Φόντο"
"Blocked Input Patterns","Αποκλεισμένα Μοτίβα Εισόδου"
"Calls","Κλήσεις"
"Cancelled","Ακυρώθηκε"
"Categories (%s active)","Κατηγορίες (%s ενεργές)"
"Complete","Complete"
"Completed","Ολοκληρώθηκε"
"Completion","Ολοκλήρωση"
"Consumer","Καταναλωτής"
"Context","Πλαίσιο"
"Current Configuration","Τρέχουσα Ρύθμιση Παραμέτρων"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Προεπιλεγμένο Ύψος Υποδοχής Θέσης"
"Default Placeholder Width","Προεπιλεγμένο Πλάτος Υποδοχής Θέσης"
"Disabled","Απενεργοποιημένο"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","π.χ. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Ενσωμάτωση"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Οι ενσωματώσεις είναι απενεργοποιημένες. Ενεργοποιήστε τις στο System &gt; AI &gt; Embed Settings πριν από την ουρά."
"Embed Provider","Ενσωματωμένος Πάροχος"
"Embed Status","Κατάσταση Ενσωμάτωσης"
"Enable Async Queue","Ενεργοποίηση Async Ουράς"
"Enabled","Ενεργοποιημένο"
"Enable Embeddings","Ενεργοποίηση Ενσωμάτωσης"
"Enable Image Generation","Ενεργοποίηση Δημιουργίας Εικόνας"
"Error","Σφάλμα"
"Error: ","Σφάλμα: "
"Estimated completion: ~%d hours %d minutes.","Εκτιμώμενη ολοκλήρωση: ~%d ώρες %d λεπτά."
"Estimated completion: ~%d minutes.","Εκτιμώμενη ολοκλήρωση: ~%d λεπτά."
"Failed","Απέτυχε"
"Failed to fetch models. See exception.log for details.","Αποτυχία λήψης μοντέλων. Δείτε exception.log για λεπτομέρειες."
"Fetching...","Ανάκτηση"
"Flag responses containing email addresses, phone numbers, or SSNs.","Σημαία απαντήσεις που περιέχουν διευθύνσεις ηλεκτρονικού ταχυδρομείου, αριθμούς τηλεφώνου ή SSN."
"Google Embed Model","Μοντέλο Ενσωμάτωσης Google"
"ID","ID"
