"Action","Toiminto"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","Oletko varma, että haluat palauttaa tämän version? Nykyinen sisältö tallennetaan ensin uudeksi versioksi."
"Back","Takaisin"
"Blog module is not enabled.","Blogimoduuli ei ole käytössä."
"Blog Post","Blogi Viesti"
"CMS Block","CMS-lohko"
"CMS Page","CMS-sivu"
"Content has been restored from version. The previous state was saved as a new version.","Sisältö on palautettu versiosta. Edellinen tila on tallennettu uudeksi versioksi."
"Content Version History","Sisällön Versiohistoria"
"Content Versioning","Content Versioning"
"Date","Päivämäärä"
"Delete versions older than this many days. Set to 0 for unlimited.","Poista versiot, jotka ovat vanhempia kuin tämä monta päivää. Aseta arvoksi 0 rajoittamattomille versioille."
"Editor","Muokkain"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Enimmäismäärä versioita, jotka säilytetään per entiteetti. Aseta arvoon 0 rajoittamattomalle versiolle."
"Max Version Age (Days)","Max Version Age (Päivää)"
"Max Versions Per Entity","Maksimi Versiot Yksikköä Kohti"
"No versions available. Versions are created when content is saved.","Ei versioita saatavilla. Versiot luodaan, kun sisältö on tallennettu."
"No version specified.","Versiota ei ole määritelty."
"Preview","Esikatselu"
"Restore","Palauta"
"Snapshot Data","Tilannevedon Tiedot"
"Source entity not found.","Lähdettä ei löydy."
"Version","Versio"
"Version %s","Versio %s"
"Version Details","Version Tiedot"
"Version not found.","Versiota ei löydy."
"Versions","Versiot"
