"A block identifier with the same properties already exists in the selected store.","Υπάρχει ήδη ένα αναγνωριστικό block με τις ίδιες ιδιότητες στο επιλεγμένο κατάστημα."
"Action","Ενέργεια"
"Add New Block","Προσθήκη Νέου Μπλοκ"
"Add New Page","Προσθήκη Νέας Σελίδας"
"A directory with the same name already exists. Please try another folder name.","Ένας κατάλογος με το ίδιο όνομα υπάρχει ήδη. Παρακαλώ δοκιμάστε ένα άλλο όνομα φακέλου."
"Anchor Custom Text","Προσαρμοσμένο Κείμενο Σημείου Αγκύρωσης"
"Anchor Custom Title","Προσαρμοσμένος Τίτλος Σημείου Αγκύρωσης"
"An error occurred while saving the page.","Παρουσιάστηκε σφάλμα κατά την αποθήκευση της σελίδας."
"A page URL key for specified store already exists.","Υπάρχει ήδη ένα κλειδί URL σελίδας για το συγκεκριμένο κατάστημα."
"Are you sure you want to delete current folder?","Είστε βέβαιοι ότι θέλετε να διαγράψετε τον τρέχοντα φάκελο?"
"Are you sure you want to delete the selected file?","Είστε βέβαιοι ότι θέλετε να διαγράψετε το επιλεγμένο αρχείο?"
"Block","Αποκλεισμός"
"Block Content","Αποκλεισμός Περιεχομένου"
"Block Information","Πληροφορίες Μπλοκ"
"Block Title","Τίτλος Μπλοκ"
"Cannot create new directory.","Αδυναμία δημιουργίας νέου καταλόγου."
"Cannot delete directory %s.","Αδυναμία διαγραφής καταλόγου %s."
"Cannot delete page, it is used in ""%s"".","Δεν μπορεί να διαγραφεί η σελίδα, χρησιμοποιείται στο ""%s""."
"Cannot delete root directory %s.","Αδυναμία διαγραφής καταλόγου ρίζας %s."
"Cannot disable page, it is used in configuration ""%s"".","Δεν είναι δυνατή η απενεργοποίηση της σελίδας, χρησιμοποιείται στη διαμόρφωση ""%s""."
"Cannot upload file.","Αδυναμία μεταφόρτωσης αρχείου."
"CMS","CMS"
"CMS Content Wrapper","Περιτύλιγμα Περιεχομένου CMS"
"CMS Home Page","Αρχική Σελίδα CMS"
"CMS No-Route Page","Σελίδα Αρ. Διαδρομής Cms"
"CMS No Route Page","Σελίδα CMS Χωρίς Διαδρομή"
"CMS Page","Σελίδα CMS"
"CMS Page Link","Σύνδεσμος Σελίδας CMS"
"CMS Page Link Block Template","Πρότυπο Μπλοκ Συνδέσμου Σελίδας CMS"
"CMS Page Link Inline Template","Εσωτερικό Πρότυπο Συνδέσμου Σελίδας CMS"
"CMS Pages (All)","Σελίδες CMS (Όλα)"
"CMS Static Block","Στατικό Μπλοκ CMS"
"CMS Static Block Default Template","Στατικό Πρότυπο CMS Μπλοκ"
"Collapse All","Σύμπτυξη Όλων"
"Content","Περιεχόμενο"
"Content Heading","Επικεφαλίδα Περιεχομένου"
"Content Management","Διαχείριση Περιεχομένου"
"Contents of a Static Block","Περιεχόμενα ενός στατικού μπλοκ"
"Could not reach the HTML validator service.","Δεν ήταν δυνατή η πρόσβαση στην υπηρεσία επικύρωσης HTML."
"Create Folder...","Δημιουργία Φακέλου..."
"Custom Design","Προσαρμοσμένη Σχεδίαση"
"Custom Design From","Προσαρμοσμένη Σχεδίαση Από"
"Custom Design To","Προσαρμοσμένη Σχεδίαση Σε"
"Customer Tax Class Information","Πληροφορίες Φορολογικής Κλάσης Πελάτη"
"Custom Layout","Προσαρμοσμένη Διάταξη"
"Custom Layout Update XML","Ενημέρωση Xml Προσαρμοσμένης Διάταξης"
"Custom Theme","Προσαρμοσμένο Θέμα"
"Date Created","Ημερομηνία Δημιουργίας"
"Delete Block","Διαγραφή Μπλοκ"
"Delete File","Διαγραφή Αρχείου"
"Delete Folder","Διαγραφή Φακέλου"
"Delete Page","Διαγραφή Σελίδας"
"Description","Περιγραφή"
"Design","Σχεδιασμός"
"Disabled","Απενεργοποιημένο"
"Disabled by Default","Απενεργοποιημένο από προεπιλογή"
"Disabled Completely","Απενεργοποιημένη Εντελώς"
"Edit Block","Επεξεργασία Μπλοκ"
"Edit Block '%s'","Επεξεργασία Μπλοκ '%s'"
"Edit Image","Επεξεργασία Εικόνας"
"Edit Page","Επεξεργασία Σελίδας"
"Edit Page '%s'","Επεξεργασία Σελίδας '%s'"
"Enabled","Ενεργοποιημένο"
"Enabled by Default","Ενεργοποιημένη από προεπιλογή"
"Enable WYSIWYG Editor","Ενεργοποίηση Επεξεργαστή WYSIWYG"
"Expand All","Ανάπτυξη Όλων"
"General Information","Γενικές Πληροφορίες"
"Go to Home Page","Μετάβαση στην Αρχική Σελίδα"
"Home","Αρχική"
"HTML Validator","HTML Validator"
"ID","ID"
"Identifier","Identifier"
"If empty, the Page Title will be used","Αν είναι κενό, θα χρησιμοποιηθεί ο τίτλος σελίδας"
"Ignore List","Αγνόηση Λίστας"
"Insert File","Εισαγωγή Αρχείου"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Μη έγκυρο όνομα φακέλου. Παρακαλώ, χρησιμοποιήστε αλφαριθμητικούς χαρακτήρες, χαρακτήρες υπογράμμισης και παύλες."
"Keywords","Λέξεις-κλειδιά"
"Last Modified","Τελευταία Τροποποίηση"
"Layout","Διάταξη"
"Layout Update XML","Xml Ενημέρωσης Διάταξης"
"Link to a CMS Page","Σύνδεση σε μια σελίδα CMS"
"Manage Pages","Διαχείριση Σελίδων"
"Media Gallery","Γκαλερί Media"
"Media Library","Βιβλιοθήκη Πολυμέσων"
"Media Storage","Αποθήκευση Μέσων"
"Meta Data","Meta Δεδομένα"
"Meta Description","Meta Περιγραφή"
"Meta Keywords","Meta Keywords"
"Meta Robots","Ρομπότ Meta"
"New Block","Νέο Μπλοκ"
"New Folder Name:","Όνομα Νέου Φακέλου:"
"New Page","Νέα Σελίδα"
"No files found","Δεν βρέθηκαν αρχεία"
"One substring per line. Validator messages containing any of these substrings will be hidden. Matching is case-sensitive. Lines starting with # are treated as comments.","Μια συμβολοσειρά ανά γραμμή. Τα μηνύματα επικύρωσης που περιέχουν οποιαδήποτε από αυτές τις συμβολοσειρές θα είναι κρυμμένα. Η αντιστοίχιση είναι ευαίσθητη σε περίπτωση. Οι γραμμές που ξεκινούν με # αντιμετωπίζονται ως σχόλια."
"Page Information","Πληροφορίες Σελίδας"
"Page Layout","Διάταξη Σελίδας"
"Pages","Σελίδες"
"Page Status","Κατάσταση Σελίδας"
"Page Title","Τίτλος Σελίδας"
"Please add at least one image to the slideshow","Παρακαλώ προσθέστε τουλάχιστον μία εικόνα στην προβολή σλάιντ"
"Product Tax Class Information","Πληροφορίες Φορολογικής Κατηγορίας Προϊόντος"
"px.","px."
"Relative to Website Base URL","Σχετικό με τη βασική διεύθυνση URL της ιστοσελίδας"
"Robots","Robots"
"Save Block","Αποθήκευση Μπλοκ"
"Save Page","Αποθήκευση Σελίδας"
"Save Process","Αποθήκευση Διεργασίας"
"Select Block...","Επιλογή Μπλοκ..."
"Select Page...","Επιλέξτε Σελίδα..."
"Show Breadcrumbs for CMS Pages","Εμφάνιση Breadcrumbs για CMS σελίδες"
"Some content is not supported. Clean and continue?","Κάποιο περιεχόμενο δεν υποστηρίζεται. Καθαρίστε και συνεχίστε?"
"Static Blocks","Στατικά Μπλοκ"
"Status","Κατάσταση"
"Storage Root","Ρίζα Αποθήκευσης"
"Store View","Προβολή Καταστήματος"
"Template","Πρότυπο"
"The block has been deleted.","Το μπλοκ έχει διαγραφεί."
"The block has been saved.","Το μπλοκ έχει αποθηκευτεί."
"The directory %s is not writable by server.","Ο κατάλογος %s δεν είναι εγγράψιμος από το διακομιστή."
"The page has been deleted.","Η σελίδα έχει διαγραφεί."
